ID,Name,Type,Length_m,Width_m,BedElev_m,LeftBank,RightBank,SlopCoef,Material,Grade,Purpose,SvcArea,IrrigSys,FlowDir,FromNode,ToNode,RouteShape,XSType,WtrLevel,XSArea,Location,Province,District,Ward,Manager,YearBuilt,YearUpdate,Status,Notes
5,Mýõng h? thoát ný?c x? An H?a,Canal,786.0,1,"+5,02","10,2 ; 6,4","10,2 ; 6.4","1,0",BTCT CN,V,Tiêu,80.0,HTTL huy?n C? Chi,,N5_start,N5_end,"{""type"": ""LineString"", ""coordinates"": [[106.510136234796, 11.118200741366], [106.509937930665, 11.118170073522], [106.509724849611, 11.118086521631], [106.509514169837, 11.117963392378], [106.509223347451, 11.117837991771], [106.509153170635, 11.117815909381], [106.50912563007, 11.117818452363], [106.509038120898, 11.117873084305], [106.508970799576, 11.117987023363], [106.508891302883, 11.118234547438], [106.508867028074, 11.118531396341], [106.5088448986, 11.118689739464], [106.508817562654, 11.118771425101], [106.508770173109, 11.118845741792], [106.508605172119, 11.118954981125], [106.508400031845, 11.119037115123], [106.508327510084, 11.119076869123], [106.508197587743, 11.11919343934], [106.508119666972, 11.11908234003], [106.508059416737, 11.119025607284], [106.507949043084, 11.118954161767], [106.507745979119, 11.118870583237], [106.506750694375, 11.11845263891], [106.506191633433, 11.118219086852]]}",,,,X? An Phú,,,,UBND huy?n C? Chi,2013,2018,,
15,Kênh NT5,Canal,880.0,,,"+1,5",,"1,5",,IV,"Tý?i, tiêu",24.969999,HTTL An Phú-PMH,,N15_start,N15_end,"{""type"": ""LineString"", ""coordinates"": [[106.527067659419, 11.110533273906], [106.526203886782, 11.110663499329], [106.525967995003, 11.110680580187], [106.525782615268, 11.110732943986], [106.525710164727, 11.110770541062], [106.5256557552, 11.110831313873], [106.525632085221, 11.110908848041], [106.525547283107, 11.111084225577], [106.525479364275, 11.111195558524], [106.525350151175, 11.111344102617], [106.525231259833, 11.11152630485], [106.525125885618, 11.111661313546], [106.525023771721, 11.111739050599], [106.524894301218, 11.111789910236], [106.524737483017, 11.111817261778], [106.524539754419, 11.11185145458], [106.524335267523, 11.111909244894], [106.524188823361, 11.111990464214], [106.524103797104, 11.112081630028], [106.524043071912, 11.112334419371]]}",,,,Huy?n C? Chi,,,,CTQLKT&DVTL,2009,2018,,
97,Kênh T6-3,Canal,300.0,,,,,"1,5",,V,"Tý?i, tiêu",4.5,HTTL An Phú-PMH,,N97_start,N97_end,"{""type"": ""LineString"", ""coordinates"": [[106.500423296525, 11.135556008663], [106.500592802632, 11.135502773225], [106.50071973655, 11.135465013856], [106.501682736606, 11.134852314807]]}",,,,Huy?n C? Chi,,,,CTQLKT&DVTL,,2018,,
129,Kênh NT10-5,Canal,120.0,,,,,"1,5",,V,"Tý?i, tiêu",4.15,HTTL An Phú-PMH,,N129_start,N129_end,"{""type"": ""LineString"", ""coordinates"": [[106.50634379282, 11.129230287426], [106.506396857784, 11.129107143504], [106.506852349314, 11.128212967892], [106.507109820157, 11.127688324365]]}",,,,Huy?n C? Chi,,,,CTQLKT&DVTL,,2018,,
169,Kênh NT10-1,Canal,0.0,,,,,,,,,0.0,,,N169_start,N169_end,"{""type"": ""LineString"", ""coordinates"": [[106.5102085682, 11.131365467415], [106.511023499745, 11.128571690668]]}",,,,Huy?n C? Chi,,,,UBND huy?n C? Chi,,2022,,
232,Kênh NT8-3,Canal,0.0,,,,,,,,,0.0,,,N232_start,N232_end,"{""type"": ""LineString"", ""coordinates"": [[106.510977351104, 11.123480532591], [106.51108660172, 11.123039322595]]}",,,,Huy?n C? Chi,,,,UBND huy?n C? Chi,,2022,,
310,Kênh T5-2,Canal,0.0,,,,,,,,,0.0,,,N310_start,N310_end,"{""type"": ""LineString"", ""coordinates"": [[106.506274467271, 11.135428352016], [106.506132571554, 11.135593600551], [106.505780614438, 11.136003480849], [106.505570586622, 11.136248073583]]}",,,,Huy?n C? Chi,,,,UBND huy?n C? Chi,,2022,,
327,Kênh NT14-4,Canal,0.0,,,,,,,,,0.0,,,N327_start,N327_end,"{""type"": ""LineString"", ""coordinates"": [[106.497310844366, 11.138180935472], [106.495017719541, 11.139645757097]]}",,,,Huy?n C? Chi,,,,UBND huy?n C? Chi,,2022,,
331,Kênh NT15A-1,Canal,0.0,,,,,,,,,0.0,,,N331_start,N331_end,"{""type"": ""LineString"", ""coordinates"": [[106.484351171876, 11.141113630068], [106.485217689369, 11.141033880951]]}",,,,Huy?n C? Chi,,,,UBND huy?n C? Chi,,2022,,
332,Kênh NT2-2,Canal,0.0,,,,,,,,,0.0,,,N332_start,N332_end,"{""type"": ""LineString"", ""coordinates"": [[106.521097687406, 11.104135120645], [106.519394472252, 11.10358910038]]}",,,,Huy?n C? Chi,,,,UBND huy?n C? Chi,,2022,,
