ID,Name,Type,Form,Chainage,River,Basin,Length_m,Width_m,Height_m,Diam_m,Openings,InvElev_m,CrestElv,Cap_MW,Vol_Mm3,Catch_km2,Elev_m,Grade,Operation,Purpose,SvcArea,IrrigSys,Country,Complete,Location,Province,District,Ward,Manager,YearBuilt,YearUpdate,Status,Notes,Shape
17,NT3-2,C?ng ði?u ti?t,C?ng tr?n,,,,6.0,0.0,0.0,80.0,1,,,,,,,IV,,"Tý?i,tiêu",0.0,HTTL An Phú-PMH,,,X? An Phú,,,,CTQLKT&DVTL,,2018,,,"{""type"": ""Point"", ""coordinates"": [106.524739602487, 11.117007124168]}"
18,NT8-3,C?ng ði?u ti?t,C?ng tr?n,,,,6.0,0.0,0.0,80.0,1,,,,,,,IV,,"Tý?i,tiêu",0.0,HTTL An Phú-PMH,,,X? An Phú,,,,CTQLKT&DVTL,,2018,,,"{""type"": ""Point"", ""coordinates"": [106.513218419225, 11.124728942366]}"
46,NT5,C?ng ði?u ti?t,C?ng tr?n,,,,11.0,0.0,0.0,100.0,1,,,,,,,IV,,"Tý?i,tiêu",0.0,HTTL An Phú-PMH,,,X? An Phú,,,,CTQLKT&DVTL,,2018,,,"{""type"": ""Point"", ""coordinates"": [106.526203886782, 11.110663499329]}"
47,NT6,C?ng ði?u ti?t,C?ng tr?n,,,,0.0,0.0,0.0,100.0,1,,,,,,,IV,,"Tý?i,tiêu",0.0,HTTL An Phú-PMH,,,X? An Phú,,,,CTQLKT&DVTL,,2018,,,"{""type"": ""Point"", ""coordinates"": [106.526180992919, 11.117628576369]}"
92,NT3,C?ng ði?u ti?t,C?ng tr?n,,,,0.0,0.0,0.0,100.0,1,,,,,,,IV,,"Tý?i,tiêu",0.0,HTTL An Phú-PMH,,,X? An Phú,,,,CTQLKT&DVTL,,2018,,,"{""type"": ""Point"", ""coordinates"": [106.522390581416, 11.104298228212]}"
93,NT4,C?ng ði?u ti?t,C?ng tr?n,,,,11.0,0.0,0.0,100.0,1,,,,,,,IV,,"Tý?i,tiêu",0.0,HTTL An Phú-PMH,,,X? An Phú,,,,CTQLKT&DVTL,,2018,,,"{""type"": ""Point"", ""coordinates"": [106.525815735838, 11.107020836933]}"
149,C?ng Kênh N25-6,C?ng tiêu,C?ng tr?n,K0+110,,,0.0,0.0,0.0,60.0,1,,,,,,,III,,C?ng QÐ,0.0,HTTL Kênh Ðông C? Chi,,,X? An Phú,,,,CTQLKT&DVTL,,2018,,,"{""type"": ""Point"", ""coordinates"": [106.487852653268, 11.092457574305]}"
1063,C?ng T24,C?ng ði?u ti?t,C?ng h?p,K0+000,,,0.0,4.0,1.4,0.0,1,,,,,,,,,Tiêu,0.0,HTTL R?ch C?u Sõn - R?ch C?u Ðen,,,X? An Nhõn Tây huy?n C? Chi,,,,CTQLKT&DVTL,,2018,,,"{""type"": ""Point"", ""coordinates"": [106.517210269955, 11.103184778474]}"
1129,C?ng R?ch Da (K1+891),C?ng ði?u ti?t,C?ng h?p,K1+891,,,11.0,2.0,4.7,0.0,1,,,,,,,,,"Tý?i,tiêu",0.0,HTTL Thai Lai - B?n Súc,,,X? Phú M? Hýng,,,,CTQLKT&DVTL,,2018,,,"{""type"": ""Point"", ""coordinates"": [106.465510225144, 11.156959852782]}"
1132,C?ng 3+351,C?ng ði?u ti?t,C?ng tr?n,K3+351,,,8.0,0.0,0.0,100.0,1,,,,,,,,,"Tý?i,tiêu",0.0,HTTL Thai Lai - B?n Súc,,,X? Phú M? Hýng,,,,CTQLKT&DVTL,,2018,,,"{""type"": ""Point"", ""coordinates"": [106.466258451606, 11.147855522415]}"
1141,NT7,C?ng ði?u ti?t,C?ng tr?n,,,,11.0,0.0,0.0,100.0,1,,,,,,,IV,,"Tý?i,tiêu",0.0,HTTL An Phú-PMH,,,X? An Phú,,,,CTQLKT&DVTL,,2018,,,"{""type"": ""Point"", ""coordinates"": [106.521385688857, 11.120824044105]}"
1242,C?ng 3+511,C?ng ði?u ti?t,C?ng tr?n,K3+460,,,8.0,0.0,0.0,100.0,1,,,,,,,,,"Tý?i,tiêu",0.0,HTTL Thai Lai - B?n Súc,,,X? Phú M? Hýng,,,,CTQLKT&DVTL,,2018,,,"{""type"": ""Point"", ""coordinates"": [106.467074659318, 11.146600964043]}"
1243,C?ng 3+925,C?ng ði?u ti?t,C?ng tr?n,K3+890,,,8.0,0.0,0.0,100.0,1,,,,,,,,,"Tý?i,tiêu",0.0,HTTL Thai Lai - B?n Súc,,,X? Phú M? Hýng,,,,CTQLKT&DVTL,,2018,,,"{""type"": ""Point"", ""coordinates"": [106.470020249562, 11.144068614225]}"
1299,NT13,C?ng ði?u ti?t,C?ng tr?n,,,,0.0,0.0,0.0,100.0,2,,,,,,,IV,,"Tý?i,tiêu",0.0,HTTL An Phú-PMH,,,X? An Phú,,,,CTQLKT&DVTL,,2018,,,"{""type"": ""Point"", ""coordinates"": [106.503607876003, 11.139897787871]}"
1300,NT15b,C?ng ði?u ti?t,C?ng tr?n,,,,0.0,0.0,0.0,100.0,1,,,,,,,IV,,"Tý?i,tiêu",0.0,HTTL An Phú-PMH,,,X? Phú M? Hýng,,,,CTQLKT&DVTL,,2018,,,"{""type"": ""Point"", ""coordinates"": [106.476165283222, 11.142073483515]}"
1301,C?ng T7-1,C?ng ð?u kênh,C?ng tr?n,,,,6.0,0.0,0.0,100.0,1,,,,,,,IV,,Tiêu,0.0,HTTL An Phú-PMH,,,X? An Phú,,,,CTQLKT&DVTL,,2018,,,"{""type"": ""Point"", ""coordinates"": [106.492203771645, 11.140900934479]}"
1302,C?ng T8-5,C?ng ð?u kênh,C?ng tr?n,,,,6.0,0.0,0.0,80.0,1,,,,,,,IV,,Tiêu,0.0,HTTL An Phú-PMH,,,X? Phú M? Hýng,,,,CTQLKT&DVTL,,2018,,,"{""type"": ""Point"", ""coordinates"": [106.48400914757, 11.134318423373]}"
1303,C?ng T8-2,C?ng ð?u kênh,C?ng tr?n,,,,6.0,0.0,0.0,100.0,1,,,,,,,IV,,Tiêu,0.0,HTTL An Phú-PMH,,,X? Phú M? Hýng,,,,CTQLKT&DVTL,,2018,,,"{""type"": ""Point"", ""coordinates"": [106.480822809166, 11.141368825127]}"
1304,C?ng T8-4,C?ng ð?u kênh,C?ng tr?n,,,,6.0,0.0,0.0,100.0,1,,,,,,,IV,,Tiêu,0.0,HTTL An Phú-PMH,,,X? Phú M? Hýng,,,,CTQLKT&DVTL,,2018,,,"{""type"": ""Point"", ""coordinates"": [106.482984861106, 11.137277997025]}"
1305,C?ng T9-4,C?ng ð?u kênh,C?ng tr?n,,,,6.0,0.0,0.0,80.0,1,,,,,,,IV,,Tiêu,0.0,HTTL An Phú-PMH,,,X? Phú M? Hýng,,,,CTQLKT&DVTL,,2018,,,"{""type"": ""Point"", ""coordinates"": [106.476874165266, 11.137871027529]}"
1306,C?ng T5-1,C?ng ð?u kênh,C?ng tr?n,,,,6.0,0.0,0.0,100.0,1,,,,,,,IV,,Tiêu,0.0,HTTL An Phú-PMH,,,X? An Phú,,,,CTQLKT&DVTL,,2018,,,"{""type"": ""Point"", ""coordinates"": [106.507418820828, 11.136058095488]}"
1307,NT9,C?ng ði?u ti?t,C?ng tr?n,,,,0.0,0.0,0.0,100.0,1,,,,,,,IV,,"Tý?i,tiêu",0.0,HTTL An Phú-PMH,,,X? An Phú,,,,CTQLKT&DVTL,,2018,,,"{""type"": ""Point"", ""coordinates"": [106.512815892832, 11.128565001251]}"
1468,NT6-2,C?ng ði?u ti?t,C?ng tr?n,,,,6.0,0.0,0.0,80.0,1,,,,,,,IV,,"Tý?i,tiêu",0.0,HTTL An Phú-PMH,,,X? An Phú,,,,CTQLKT&DVTL,,2018,,,"{""type"": ""Point"", ""coordinates"": [106.524377333719, 11.117550840949]}"
1469,NT8-4,C?ng ði?u ti?t,C?ng tr?n,,,,6.0,0.0,0.0,80.0,1,,,,,,,IV,,"Tý?i,tiêu",0.0,HTTL An Phú-PMH,,,X? An Phú,,,,CTQLKT&DVTL,,2018,,,"{""type"": ""Point"", ""coordinates"": [106.510910812851, 11.123449058383]}"
1470,NT2,C?ng ði?u ti?t,C?ng h?p,,,,0.0,0.0,0.0,100.0,1,,,,,,,IV,,"Tý?i,tiêu",0.0,HTTL An Phú-PMH,,,X? An Phú,,,,CTQLKT&DVTL,,2018,,,"{""type"": ""Point"", ""coordinates"": [106.519253867392, 11.10346462314]}"
1841,C?ng T1,C?ng ði?u ti?t,C?ng h?p,K0+300,,,0.0,2.0,2.0,0.0,1,,,,,,,,,Tiêu,0.0,HTTL R?ch C?u Sõn - R?ch C?u Ðen,,,X? An Nhõn Tây huy?n C? Chi,,,,CTQLKT&DVTL,,2018,,,"{""type"": ""Point"", ""coordinates"": [106.515473377327, 11.101455295995]}"
1842,C?ng T2,C?ng ði?u ti?t,C?ng h?p,K0+600,,,0.0,2.0,2.0,0.0,1,,,,,,,,,Tiêu,0.0,HTTL R?ch C?u Sõn - R?ch C?u Ðen,,,X? An Nhõn Tây huy?n C? Chi,,,,CTQLKT&DVTL,,2018,,,"{""type"": ""Point"", ""coordinates"": [106.51591195695, 11.098811975705]}"
1845,NT11,C?ng ði?u ti?t,C?ng tr?n,,,,0.0,0.0,0.0,100.0,1,,,,,,,IV,,"Tý?i,tiêu",0.0,HTTL An Phú-PMH,,,X? An Phú,,,,CTQLKT&DVTL,,2018,,,"{""type"": ""Point"", ""coordinates"": [106.510577965519, 11.135084992781]}"
1846,NT14a,C?ng ði?u ti?t,C?ng tr?n,,,,0.0,0.0,0.0,100.0,2,,,,,,,IV,,"Tý?i,tiêu",0.0,HTTL An Phú-PMH,,,X? An Phú,,,,CTQLKT&DVTL,,2018,,,"{""type"": ""Point"", ""coordinates"": [106.490584405853, 11.143640477639]}"
1847,NT16,C?ng ði?u ti?t,C?ng tr?n,,,,0.0,0.0,0.0,100.0,1,,,,,,,IV,,"Tý?i,tiêu",0.0,HTTL An Phú-PMH,,,X? Phú M? Hýng,,,,CTQLKT&DVTL,,2018,,,"{""type"": ""Point"", ""coordinates"": [106.474783527975, 11.142339797814]}"
1848,C?ng T2-3,C?ng ð?u kênh,C?ng tr?n,,,,6.0,0.0,0.0,80.0,1,,,,,,,IV,,Tiêu,0.0,HTTL An Phú-PMH,,,X? An Phú,,,,CTQLKT&DVTL,,2018,,,"{""type"": ""Point"", ""coordinates"": [106.522344177657, 11.109110185728]}"
1849,C?ng T2-4,C?ng ði?u ti?t,C?ng tr?n,,,,6.0,0.0,0.0,100.0,1,,,,,,,IV,,Tiêu,0.0,HTTL An Phú-PMH,,,X? An Phú,,,,CTQLKT&DVTL,,2018,,,"{""type"": ""Point"", ""coordinates"": [106.522017402947, 11.109360085365]}"
1850,C?ng T3-1,C?ng ð?u kênh,C?ng tr?n,,,,6.0,0.0,0.0,80.0,1,,,,,,,IV,,Tiêu,0.0,HTTL An Phú-PMH,,,X? An Phú,,,,CTQLKT&DVTL,,2018,,,"{""type"": ""Point"", ""coordinates"": [106.52522312486, 11.1134593463]}"
1851,C?ng T3-2,C?ng ð?u kênh,C?ng tr?n,,,,6.0,0.0,0.0,100.0,1,,,,,,,IV,,Tiêu,0.0,HTTL An Phú-PMH,,,X? An Phú,,,,CTQLKT&DVTL,,2018,,,"{""type"": ""Point"", ""coordinates"": [106.525245004238, 11.113900822598]}"
1852,C?ng T6-4,C?ng ð?u kênh,C?ng tr?n,,,,6.0,0.0,0.0,100.0,1,,,,,,,IV,,Tiêu,0.0,HTTL An Phú-PMH,,,X? An Phú,,,,CTQLKT&DVTL,,2018,,,"{""type"": ""Point"", ""coordinates"": [106.499838668753, 11.136280844448]}"
1853,C?ng T7-2,C?ng ð?u kênh,C?ng tr?n,,,,6.0,0.0,0.0,100.0,1,,,,,,,IV,,Tiêu,0.0,HTTL An Phú-PMH,,,X? An Phú,,,,CTQLKT&DVTL,,2018,,,"{""type"": ""Point"", ""coordinates"": [106.491911722969, 11.140474286865]}"
1854,C?ng T7-4,C?ng ð?u kênh,C?ng tr?n,,,,6.0,0.0,0.0,80.0,1,,,,,,,IV,,Tiêu,0.0,HTTL An Phú-PMH,,,X? An Phú,,,,CTQLKT&DVTL,,2018,,,"{""type"": ""Point"", ""coordinates"": [106.491928773663, 11.138067965418]}"
1855,C?ng T8-1,C?ng ð?u kênh,C?ng tr?n,,,,6.0,0.0,0.0,80.0,1,,,,,,,IV,,Tiêu,0.0,HTTL An Phú-PMH,,,X? Phú M? Hýng,,,,CTQLKT&DVTL,,2018,,,"{""type"": ""Point"", ""coordinates"": [106.481190022415, 11.141524521133]}"
1856,C?ng T8-6,C?ng ð?u kênh,C?ng tr?n,,,,6.0,0.0,0.0,100.0,1,,,,,,,IV,,Tiêu,0.0,HTTL An Phú-PMH,,,X? Phú M? Hýng,,,,CTQLKT&DVTL,,2018,,,"{""type"": ""Point"", ""coordinates"": [106.48394550899, 11.134269952559]}"
1857,C?ng T9-1,C?ng ð?u kênh,C?ng tr?n,,,,6.0,0.0,0.0,80.0,1,,,,,,,IV,,Tiêu,0.0,HTTL An Phú-PMH,,,X? Phú M? Hýng,,,,CTQLKT&DVTL,,2018,,,"{""type"": ""Point"", ""coordinates"": [106.478394268953, 11.141098935752]}"
1858,C?ng T9-3,C?ng ð?u kênh,C?ng tr?n,,,,6.0,0.0,0.0,100.0,1,,,,,,,IV,,Tiêu,0.0,HTTL An Phú-PMH,,,X? Phú M? Hýng,,,,CTQLKT&DVTL,,2018,,,"{""type"": ""Point"", ""coordinates"": [106.478564457357, 11.138782876409]}"
1859,C?ng T9-5,C?ng ð?u kênh,C?ng tr?n,,,,6.0,0.0,0.0,100.0,1,,,,,,,IV,,Tiêu,0.0,HTTL An Phú-PMH,,,X? Phú M? Hýng,,,,CTQLKT&DVTL,,2018,,,"{""type"": ""Point"", ""coordinates"": [106.477339438985, 11.138028130348]}"
1865,C?ng T4-1,C?ng ð?u kênh,C?ng tr?n,,,,6.0,0.0,0.0,100.0,1,,,,,,,IV,,Tiêu,0.0,HTTL An Phú-PMH,,,X? An Phú,,,,CTQLKT&DVTL,,2018,,,"{""type"": ""Point"", ""coordinates"": [106.517839642174, 11.121121051693]}"
1866,C?ng T4-3,C?ng ð?u kênh,C?ng tr?n,,,,6.0,0.0,0.0,80.0,1,,,,,,,IV,,Tiêu,0.0,HTTL An Phú-PMH,,,X? An Phú,,,,CTQLKT&DVTL,,2018,,,"{""type"": ""Point"", ""coordinates"": [106.517422526391, 11.118724027957]}"
1867,C?ng T4-4,C?ng ð?u kênh,C?ng tr?n,,,,6.0,0.0,0.0,100.0,1,,,,,,,IV,,Tiêu,0.0,HTTL An Phú-PMH,,,X? An Phú,,,,CTQLKT&DVTL,,2018,,,"{""type"": ""Point"", ""coordinates"": [106.516724648862, 11.118431211061]}"
1868,C?ng T5-2,C?ng ð?u kênh,C?ng tr?n,,,,6.0,0.0,0.0,100.0,1,,,,,,,IV,,Tiêu,0.0,HTTL An Phú-PMH,,,X? An Phú,,,,CTQLKT&DVTL,,2018,,,"{""type"": ""Point"", ""coordinates"": [106.50643274142, 11.135538618979]}"
1869,C?ng T6-2,C?ng ð?u kênh,C?ng tr?n,,,,6.0,0.0,0.0,100.0,1,,,,,,,IV,,Tiêu,0.0,HTTL An Phú-PMH,,,X? An Phú,,,,CTQLKT&DVTL,,2018,,,"{""type"": ""Point"", ""coordinates"": [106.499642242172, 11.137690748866]}"
1870,C?ng T8-3,C?ng ð?u kênh,C?ng tr?n,,,,6.0,0.0,0.0,80.0,1,,,,,,,IV,,Tiêu,0.0,HTTL An Phú-PMH,,,X? Phú M? Hýng,,,,CTQLKT&DVTL,,2018,,,"{""type"": ""Point"", ""coordinates"": [106.48321944458, 11.137246476826]}"
1871,C?ng T9-2,C?ng ð?u kênh,C?ng tr?n,,,,6.0,0.0,0.0,80.0,1,,,,,,,IV,,Tiêu,0.0,HTTL An Phú-PMH,,,X? Phú M? Hýng,,,,CTQLKT&DVTL,,2018,,,"{""type"": ""Point"", ""coordinates"": [106.478062677432, 11.140592952766]}"
1872,C?ng T7-3,C?ng ð?u kênh,C?ng tr?n,,,,6.0,0.0,0.0,80.0,1,,,,,,,IV,,Tiêu,0.0,HTTL An Phú-PMH,,,X? An Phú,,,,CTQLKT&DVTL,,2018,,,"{""type"": ""Point"", ""coordinates"": [106.492744981334, 11.138464360415]}"
1887,C?ng T2-2,C?ng ð?u kênh,C?ng tr?n,,,,6.0,0.0,0.0,80.0,1,,,,,,,IV,,Tiêu,0.0,HTTL An Phú-PMH,,,X? An Phú,,,,CTQLKT&DVTL,,2018,,,"{""type"": ""Point"", ""coordinates"": [106.524052054642, 11.109878523235]}"
1888,C?ng T3-3,C?ng ð?u kênh,C?ng tr?n,,,,6.0,0.0,0.0,100.0,1,,,,,,,IV,,Tiêu,0.0,HTTL An Phú-PMH,,,X? An Phú,,,,CTQLKT&DVTL,,2018,,,"{""type"": ""Point"", ""coordinates"": [106.521163266675, 11.114132808747]}"
1889,C?ng T5-3,C?ng ð?u kênh,C?ng tr?n,,,,6.0,0.0,0.0,100.0,1,,,,,,,IV,,Tiêu,0.0,HTTL An Phú-PMH,,,X? An Phú,,,,CTQLKT&DVTL,,2018,,,"{""type"": ""Point"", ""coordinates"": [106.506395149822, 11.13197120716]}"
1890,C?ng T6-1,C?ng ð?u kênh,C?ng tr?n,,,,6.0,0.0,0.0,100.0,1,,,,,,,IV,,Tiêu,0.0,HTTL An Phú-PMH,,,X? An Phú,,,,CTQLKT&DVTL,,2018,,,"{""type"": ""Point"", ""coordinates"": [106.499725297986, 11.137401209351]}"
1891,C?ng T6-3,C?ng ð?u kênh,C?ng tr?n,,,,6.0,0.0,0.0,80.0,1,,,,,,,IV,,Tiêu,0.0,HTTL An Phú-PMH,,,X? An Phú,,,,CTQLKT&DVTL,,2018,,,"{""type"": ""Point"", ""coordinates"": [106.500592802632, 11.135502773225]}"
1913,C?ng T1-1,C?ng ði?u ti?t,C?ng tr?n,,,,6.0,0.0,0.0,100.0,1,,,,,,,IV,,Tiêu,0.0,HTTL An Phú-PMH,,,X? An Phú,,,,CTQLKT&DVTL,,2018,,,"{""type"": ""Point"", ""coordinates"": [106.517020311705, 11.104220942235]}"
1921,NT12,C?ng ði?u ti?t,C?ng tr?n,,,,0.0,0.0,0.0,100.0,1,,,,,,,IV,,"Tý?i,tiêu",0.0,HTTL An Phú-PMH,,,X? An Phú,,,,CTQLKT&DVTL,,2018,,,"{""type"": ""Point"", ""coordinates"": [106.50817965192, 11.13829326442]}"
1922,NT14,C?ng ði?u ti?t,C?ng tr?n,,,,0.0,0.0,0.0,100.0,2,,,,,,,IV,,"Tý?i,tiêu",0.0,HTTL An Phú-PMH,,,X? An Phú,,,,CTQLKT&DVTL,,2018,,,"{""type"": ""Point"", ""coordinates"": [106.499090474887, 11.140128369815]}"
